Velocity,Angle,Cl,Cd
40,-5,-1.6410919,0.42236697
40,0,2.5095123,0.2934237
40,5,6.8404088,0.36919246
40,10,10.280682,0.6494805
40,12,10.742406,0.85773179
40,15,11.050837,1.3444797
40,17,10.956753,1.7704541
40,20,10.713661,2.6514678
65,-5,-4.1641221,0.93704206
65,0,7.1341738,0.60789517
65,5,18.738398,0.79898597
65,10,28.274159,1.4902676
65,12,29.398745,2.0025461
65,15,30.170498,3.2457265
65,17,29.355793,4.3870769
65,20,28.620034,6.6973287
90,-5,-7.5134835,1.6584582
90,0,14.296009,1.0634163
90,5,36.996145,1.3966251
90,10,55.312566,2.6902683
90,12,58.040227,3.5844899
90,15,59.499474,5.878999
90,17,56.94312,8.0966836
90,20,55.872511,12.450793
200,-5,-35.233112,7.084219
200,0,74.969964,4.3175963
200,5,188.64718,5.7585006
200,10,284.54999,11.085782
200,12,298.6342,15.411676
200,15,300.96866,25.975334
200,17,285.71367,37.102534
200,20,273.26171,58.102351
